"subit@gmail.com","subit123","Male"
"test@gmail.com","test123","Male"
"subit@gmail.com","Subit@123","Male","Nepal"
"iims@gmail.com","iims123","Male","Nepal"
"hello@gmail.com","hello@123","Male","China"
"helloworld@gmail.com","Hello@123","Male","Nepal"
"hello12345@gmail.com","hello@123","Male","Nepal"
"sachin@gmail.com","sachin@123","Male","China"
"apurva@gmail.com","apurva@123","Male","Nepal"
"te","hadhasd","Male","Nepal"
"hahasd","ahasjdad","Male","Nepal"
"","","Female",
"","","Female",
"helloworld123@gmail.om","BHello@123","Male","Nepal"
"test@gmail.com","password","Male","Nepal"
